Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
OptiMat,156R0460MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,51.25,71.28,,,,,6.50666666666667,2.0,25.2033333333333,150.0,40.0,163.989688888889,58.3817193926556,-58.3817193926556,0.334614,,-1.0,2.5,196.1755017637108,-250.7751666704018,17.36,18.44,2.0856,-1.89046,246717.0,5.39219907552064
OptiMat,174R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,54.96,,,,,,6.41,2.0,24.915,150.0,40.0,159.6731,189.286319195092,-189.286319195092,,,-1.0,1.44,537.780016798956,,27.8794,,,,22500.0,4.352182518111363
OptiMat,175R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,54.71,,,,,,6.505,2.0,24.67,150.0,40.0,160.34825,186.442594904546,-186.442594904546,,,-1.0,1.44,645.223777882781,,26.95,,2.95,,40297.0,4.605272715323677
OptiMat,177R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,0.0,,,,,,6.69666666666667,2.0,24.87,150.0,40.0,166.479133333333,-390.439322325481,-780.878644650962,,,2.0,1.5,603.3004971799355,-470.6537919408067,26.95,26.685,2.6625,,291201.0,5.464192862034325
OptiMat,180S3200MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,51.13,70.63,,,,,6.57,2.0,25.24,610.0,500.0,165.8268,199.244030518589,19.9244030518589,,,0.1,6.1,,,27.165,,,,5229.0,3.718418641829656
OptiMat,193R0300MD4,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,0.0,,,,,,6.9,2.0,25.185,145.0,35.0,173.742,189.821689631753,18.9821689631753,,,0.1,6.1,,,27.155,27.355,,,3889792.0,6.589926378789101
OptiMat,193R0400MD4,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,0.0,,,,,,6.59,2.0,25.48,150.0,40.0,167.7814,198.949347186279,19.8949347186279,,,0.1,6.1,656.7141382298853,-451.9538794102194,28.525,28.75,2.852,,1217152.0,6.085344817046158
OptiMat,1R0300UD2,0/0/0/0,EP,UNK,Displacement,53.31,73.23,,,,,3.73,2.0,25.11,145.0,35.0,93.6603,-239.481,-2394.81,-0.59,,10.0,4.83036090970452,806.8394187696364,-526.5913568138827,40.59,40.59,0.0,-1.30985,674709.0,5.82911650328449
OptiMat,25R0300UD2,0/0/0/0,EP,UNK,Load,50.8056392190724,71.9873847403209,,,,,3.85,2.0,24.62,145.0,35.0,94.787,259.951259138911,-259.951259138911,0.714317014169536,,-1.0,2.0,,-465.565680259128,37.2315285490482,37.3172233765215,,-1.2,30712.0,4.487308099109349
OptiMat,26R0300UD2,0/0/0/0,EP,UNK,Load,52.3204877981346,72.8373070788721,,,,,3.75,2.0,24.9,145.0,35.0,93.375,198.697724230254,-198.697724230254,0.5,,-1.0,5.0,795.7033859473871,-444.808051687231,38.312771,38.498305,2.166666666666667,-1.12,454761.0,5.65778321280759
OptiMat,27R0300UD2,0/0/0/0,EP,UNK,Load,50.660793462465,71.9848678704096,,,,,3.86333333333333,2.0,24.92,145.0,35.0,96.2742666666667,333.908541846419,-333.908541846419,0.87789,,-1.0,1.22,811.3347353874573,-452.6301938431185,38.33,38.37,2.2,-1.15,3797.0,3.579440597139797
OptiMat,28R0300UD2,0/0/0/0,EP,UNK,Load,50.2880171304518,71.8575618588619,,,,,3.92,2.0,24.8066666666667,145.0,35.0,97.2421333333334,257.090205068859,-257.090205068859,0.686516,,-1.0,2.0,768.3186399671765,,37.8,37.9,2.132,,44079.0,4.64423173331632
OptiMat,30R0300UD2,0/0/0/0,EP,UNK,Load,49.4882548122008,71.9856803097052,,,,,3.853,2.0,24.887,145.0,35.0,95.889611,-470.436781728106,-4704.36781728106,-1.2301913,,10.0,3.31,764.1472122793124,,38.93428571428571,39.33,2.089285714285714,,469.0,2.671172842715083
OptiMat,31R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,50.8395470145337,71.468683859349,,,,,6.6,2.0,25.26,150.0,40.0,166.716,149.955613138511,-149.955613138511,0.575762630377414,,-1.0,4.48,,-486.2968161371674,27.15,26.605,,-1.987,1822.0,3.260548372636979
OptiMat,36R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,52.4202378011116,71.8250240837175,,,,,6.56,2.0,25.31,150.0,40.0,165.8368,199.357238534851,19.9357238534851,0.765,,0.1,6.1,582.8270966468011,-460.5627570834861,28.75,29.30055266666667,2.5,-2.733333333333333,346505.0,5.539709505778251
