X,Y
549.5853081,116.0352423
574.7630332,115.0660793
599.6445498,114.0528634
624.8222749,112.0704846
650,110.0440529
674.8815166,107.0044053
699.7630332,103.0837004
724.9407583,99.030837
750.1184834,93.96475771
