Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,62,6.2,0.68,,0.1,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,1425,3.15381486434453
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,41,-20.5,0.462753950338601,-0.2313769751693,-0.5,3,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,21660,4.3356584522893
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,34,-17,0.383747178329571,-0.191873589164786,-0.5,3,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,115332,5.06194982329864
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,34,-17,0.383747178329571,-0.191873589164786,-0.5,4,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,30191,4.47987749816021
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,34,-17,0.383747178329571,-0.191873589164786,-0.5,3,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,152017,5.18189215763792
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,28,-14,0.316027088036117,-0.158013544018059,-0.5,4,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,2844641,6.45402746526297
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,41,-20.5,0.462753950338601,-0.2313769751693,-0.5,2,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,40474,4.6071761273489
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,41,-20.5,0.462753950338601,-0.2313769751693,-0.5,2,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,29978,4.47680265526552
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,52,-26,0.586907449209932,-0.293453724604966,-0.5,2,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,1838,3.26434550705009
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,52,-26,0.586907449209932,-0.293453724604966,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,2588,3.41296427199666
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,52,-26,0.586907449209932,-0.293453724604966,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,3876,3.58838376837873
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,62,-31,0.699774266365689,-0.349887133182844,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,133,2.12385164096709
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,62,-31,0.699774266365689,-0.349887133182844,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,183,2.26245108973043
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,62,-31,0.699774266365689,-0.349887133182844,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,82,1.91381385238372
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,69,-34.5,0.778781038374718,-0.389390519187359,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,8,0.903089986991944
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,69,-34.5,0.778781038374718,-0.389390519187359,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,3,0.477121254719662
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.82,,,,,,69,-34.5,0.778781038374718,-0.389390519187359,-0.5,1,79.4444444444444,-240.111111111111,8.852,,1.07444444444444,-2.43,13,1.11394335230684
