Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fibre Volume Fraction,Fibre Weight Fraction,Percentage of Fibre in 0-deg Direction,Percentage of Fibre in 45-deg Direction,Percentage of Fibre in 90-deg Direction,Percentage of Fibre in Other Direction,Thickness,Tab Thickness,Width,Maximum Width,Minimum Width,Length,Gauge Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Static Maximum Tensile Stress,Static Maximum Compressive Stress,Static Elastic Modulus,Static Compressive Modulus,Static Maximum Tensile Strain,Static Maximum Compressive Strain,Cycles to Failure,log(Cycles to Failure)
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,1.64999997615814,0.165000006556511,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,9930,3.99694919586182
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,1.6599999666214,0.165999993681908,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,9191,3.96336269378662
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,1.73000001907349,0.172999992966652,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,9067,3.95746350288391
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.25999999046326,0.126000002026558,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,514201,5.71113300323486
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.27999997138977,0.128000006079674,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,285386,5.4554328918457
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.22000002861023,0.122000001370907,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,351717,5.54619312286377
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.30999994277954,0.130999997258186,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,345652,5.53863906860352
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.3400000333786,0.13400000333786,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,749084,5.87453031539917
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.27999997138977,0.128000006079674,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,579002,5.76268005371094
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,1.69000005722046,0.168999999761581,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,9912,3.99616122245789
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,16271,4.2114143371582
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,5305,3.72468543052673
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,10499,4.02114772796631
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,342738,5.53496217727661
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,228420,5.35873413085938
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,376933,5.57626438140869
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,8883,3.94855976104736
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.29999995231628,0.129999995231628,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,403000,5.60530519485474
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,,,0.100000001490116,30,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,2820426,6.45031452178955
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,207,20.7000007629395,0.889999985694885,0.0890000015497208,0.100000001490116,40,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,10027337,7.00118541717529
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,,,0.100000001490116,20,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,1548025,6.18977785110474
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,,,0.100000001490116,25,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,348666,5.54240942001343
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,,,0.100000001490116,20,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,1016251,6.00700092315674
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,1.03999996185303,0.104000002145767,0.100000001490116,25,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,2312896,6.3641562461853
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,207,20.7000007629395,0.910000026226044,0.090999998152256,0.100000001490116,40,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,22002386,7.34246969223023
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,193,19.2999992370605,0.819999992847443,0.0820000022649765,0.100000001490116,45,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,39082108,7.59197807312012
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,414,41.4000015258789,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,8123,3.90971636772156
