Material_Code,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure),Data source,Sequence,Resin Type
1016S3200MD2,,,,,,,8.093428571428571,2.0,25.142428571428574,610.0,500.0,203.49021857142858,182.63642857142855,18.26364285714286,,,0.1,4.653571428571428,366.2256666666667,,27.41707142857143,,1.3658,,136839.07142857142,4.364939086483251,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
1017S0300MD2,,,,,,,6.856933333333333,2.0,25.202133333333332,610.0,500.0,172.77733333333333,360.5044668326352,36.05044668326352,1.70465,,0.1,2.356,480.475,,26.641333333333332,,1.742,,481412.0,4.139849718152933,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
104R0390UD3,53.73,72.75,,,,,6.2991666666666655,2.0,25.44375,145.0,35.0,160.26669027777774,7.411967928672013,-165.10363661909827,-0.012337617592592503,,1.68125,3.851875,54.5702435143643,-167.4759496822981,14.132206730769234,14.944875,0.4217538461538461,-1.95249,697717.5625,5.139378207512132,OptiMat,0/0/0/0/0/0/0,EP
108R0390UD3,56.66,74.69,,,,,6.328907407407407,2.0,25.09528703703704,145.0,35.0,158.82423710493828,-8.025704222256106,-334.7926432330368,0.21670613802936,,2.0555555555555554,2.728361111111111,57.28413288351763,,14.785485695947592,14.97125,0.4496039832166667,,206071.63888888888,4.1594963416926305,OptiMat,0/0/0/0/0/0/0,EP
109R0390UD3,54.75,73.21,,,,,6.328,2.0,25.060000000000002,145.0,35.0,158.57880666666665,-30.944269202975804,-454.6346208390753,-0.26301843333332997,,3.4,5.539999999999999,,-160.8355889869937,14.635,15.266296296296295,,-2.02603125,586979.0,5.336593443185859,OptiMat,0/0/0/0/0/0/0,EP
112R0390UD3,55.05,73.68,,,,,6.117407407407406,2.0,25.080987654320992,145.0,35.0,153.4298028806585,-49.11084117862559,-701.7989010589268,0.009669890029529483,,4.337037037037037,2.3466666666666667,53.954768625434845,,14.633333333333335,15.645555555555555,,,153330.4814814815,3.3754775537308466,OptiMat,0/0/0/0/0/0/0,EP
113R0300UD2,52.38,,,,,,3.645,2.0,25.555,145.0,35.0,93.09165,258.360786554769,25.8360786554769,,,0.1,8.06,1038.321244237809,,39.2125,39.56,2.79444325,,1634856.0,6.010010169865021,OptiMat,0/0/0/0,EP
119D0200MD2,54.42,72.95,,,,,6.4675,2.0,25.045,280.0,80.0,161.9769625,327.06,32.706,1.15,,0.1,8.970022321428562,,,0.670407781518893,29.2175,,,75591.25,4.455495016533735,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
120R0400MD2,54.59,,,,,,6.3575,2.0,25.49,150.0,40.0,161.9891,278.05773647365,27.805773647365,,,0.1,3.34,683.9894223942358,,31.45,,3.078333333333333,,14413.0,4.158754386632288,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
122R0310UD3,56.59000000000001,74.36,,,,,6.147333333333334,2.0,25.169999999999998,145.0,35.0,154.73004222222238,282.94019534142063,28.29401953414206,0.8993692361200001,,0.1,1.5,393.935375595338,-379.0023725327674,36.456,36.262,1.565,-1.46634,1259.4,3.0961723554703733,OptiMat,0/0/0/0/0/0/0,EP
