,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.7920470833778381,-0.7602692246437073,0.8526308536529541,0.47148990631103516,6.605423450469971,0.002779245376586914,0.00027751922607421875,0.1866140365600586,2,True,12
1,KNeighborsDist_BAG_L1/T0,-0.8101704716682434,-0.7639257907867432,0.10252928733825684,0.10147500038146973,0.0011889934539794922,0.10252928733825684,0.10147500038146973,0.0011889934539794922,1,True,2
2,ExtraTreesMSE_BAG_L1/T0,-0.8160189986228943,-0.870692253112793,0.10909152030944824,0.04505324363708496,0.38052797317504883,0.10909152030944824,0.04505324363708496,0.38052797317504883,1,True,7
3,CatBoost_BAG_L1/T0,-0.8174483180046082,-0.8846117258071899,0.005059957504272461,0.0067195892333984375,1.1855835914611816,0.005059957504272461,0.0067195892333984375,1.1855835914611816,1,True,6
4,XGBoost_BAG_L1/T0,-0.8230262398719788,-0.8684714436531067,0.11786484718322754,0.02881312370300293,1.4928944110870361,0.11786484718322754,0.02881312370300293,1.4928944110870361,1,True,9
5,LightGBMLarge_BAG_L1,-0.8405923247337341,-0.9206253290176392,0.011406898498535156,0.007282733917236328,4.273885726928711,0.011406898498535156,0.007282733917236328,4.273885726928711,1,True,11
6,NeuralNetMXNet_BAG_L1/T0,-0.8440962433815002,-0.9200763702392578,0.6382308006286621,0.32468414306640625,6.037092447280884,0.6382308006286621,0.32468414306640625,6.037092447280884,1,True,10
7,KNeighborsUnif_BAG_L1/T0,-0.8635365962982178,-0.8275009393692017,0.10308098793029785,0.10379552841186523,0.0012493133544921875,0.10308098793029785,0.10379552841186523,0.0012493133544921875,1,True,1
8,RandomForestMSE_BAG_L1/T0,-0.8641118407249451,-0.9222151041030884,0.11971330642700195,0.05109667778015137,0.2521038055419922,0.11971330642700195,0.05109667778015137,0.2521038055419922,1,True,5
9,LightGBMXT_BAG_L1/T0,-0.8813512325286865,-0.9360942244529724,0.01613926887512207,0.00801229476928711,0.7784826755523682,0.01613926887512207,0.00801229476928711,0.7784826755523682,1,True,3
10,NeuralNetFastAI_BAG_L1/T0,-0.8848624229431152,-0.9057777523994446,0.08116984367370605,0.11240673065185547,11.113841772079468,0.08116984367370605,0.11240673065185547,11.113841772079468,1,True,8
11,LightGBM_BAG_L1/T0,-0.8903124928474426,-0.9433477520942688,0.010082721710205078,0.006606101989746094,0.4986445903778076,0.010082721710205078,0.006606101989746094,0.4986445903778076,1,True,4
