HC0,,HC12k,
X,Y,X,Y
1,0.9995859213250518,1.0489655990166074,0.9991718426501035
10.07999246840756,1,10.24190216227731,0.9962732919254658
100.0000000000001,1.0028985507246377,100.0000000000001,0.9946169772256728
1501.3107289081727,1.001656314699793,499.9907130470483,0.9908902691511386
2978.8486833413517,1.0074534161490682,992.0642333158214,0.9933747412008281
4960.229034040513,1.0066252587991718,1525.425504914478,0.9904761904761904
8000.445790301713,1.010351966873706,3026.696385600633,0.9884057971014493
15133.200840133844,1.0082815734989647,5039.902621787967,0.9900621118012422
40001.48595387201,1.0099378881987577,8000.445790301713,0.9900621118012422
69869.98619396165,1.0099378881987577,12107.235295523904,0.9937888198757764
99206.42333158203,0.9975155279503105,18032.47601975376,0.9867494824016563
130072.90844024757,0.9929606625258799,23642.991285239666,0.9867494824016563
160011.88785178264,0.9859213250517598,30026.772292606598,0.9904761904761904
187653.3843561679,0.9768115942028985,35779.41355810661,0.9867494824016563
246038.72070138436,0.9739130434782608,42634.16733863314,0.9859213250517598
307531.26406985626,0.972670807453416,47665.12014462463,0.986335403726708
366449.25308578653,0.9697722567287784,79369.56119140476,0.9896480331262939
443668.73309786065,0.9585921325051759,140860.4032484499,0.9859213250517598
610192.869085148,0.9536231884057971,196841.94472866075,0.9619047619047618
738774.8641664701,0.9469979296066252,279490.32713349885,0.9614906832298136
839219.2410823697,0.9440993788819876,343820.82646739297,0.9635610766045548
908819.2316928573,0.9428571428571428,396840.43494321755,0.9565217391304348
953320.109770508,0.936231884057971,503990.2621787973,0.9383022774327122
938249.4944993211,0.8505175983436852,600546.6003481781,0.8973084886128364
