HC0,,HC12k,
X,Y,X,Y
4080.8693238497335,0.011985347985347984,6499.848375534733,0.011985347985347984
7768.239034052518,0.011967032967032965,8408.745006670879,0.011967032967032965
9376.548638379058,0.011985347985347984,9376.548638379058,0.011985347985347984
9950.604440308543,0.011985347985347984,10878.252614838175,0.011967032967032965
12372.946021858714,0.00997069597069597,21975.333964299556,0.009989010989010987
24263.097117278343,0.009989010989010987,31079.435230107367,0.00997069597069597
30169.62364005817,0.009989010989010987,53583.645632675965,0.009989010989010987
55199.54321281562,0.00997069597069597,112619.32064842142,0.007974358974358973
72839.27113734819,0.009989010989010987,210174.80113324872,0.007992673992673992
87053.24133265391,0.009989010989010987,662987.5550675064,0.007992673992673992
263940.0996601057,0.007992673992673992,,
348285.572020778,0.007974358974358973,,
404065.35289944516,0.007992673992673992,,
965931.2942224389,0.007992673992673992,,
10000000,0.0060146520146520145,,
