HC0,,HC12k,
X,Y,X,Y
4136.820402388503,674.7747747747748,8495.064226263312,718.9189189189188
9261.18728128792,732.4324324324324,6493.816315762113,672.9729729729729
7867.438076599394,669.3693693693693,10797.751623277094,690.09009009009
9809.947127268764,663.9639639639639,21961.73600205432,566.6666666666666
12349.991726875825,587.3873873873874,31320.835121798307,570.2702702702702
24173.154808041014,598.1981981981982,53088.44442309879,570.2702702702702
30141.62529877392,599.0990990990991,114375.58630495366,480.1801801801802
55165.38667595575,545.9459459459459,211348.90398366435,484.6846846846847
73564.22544596407,581.981981981982,668343.9175686135,465.76576576576576
86596.43233600636,586.4864864864865,,
266072.5059798803,469.3693693693694,,
348070.0588428406,481.98198198198196,,
401945.033361512,476.5765765765766,,
971627.9515771038,473.8738738738739,,
10096402.755134461,370.2702702702703,,
