HC hour - weight change,
X,Y
139.8601398601395,0.05040387722132472
279.7202797202808,0.06785137318255252
377.6223776223778,0.056219709208400664
545.454545454546,0.05460420032310179
671.3286713286716,0.06591276252019387
797.2027972027981,0.07269789983844913
993.0069930069931,0.0827140549273021
1118.8811188811187,0.08917609046849757
1230.7692307692305,0.07011308562197094
1356.643356643357,0.06591276252019387
1510.4895104895113,0.07463651050080775
1664.3356643356647,0.09176090468497577
1804.1958041958042,0.09337641357027465
1902.097902097903,0.08206785137318257
2027.9720279720286,0.08788368336025848
2195.804195804196,0.10371567043618742
2335.6643356643353,0.08917609046849757
2475.5244755244757,0.10597738287560583
2559.44055944056,0.08529886914378029
2713.286713286713,0.08788368336025848
2895.104895104895,0.10177705977382877
3048.9510489510494,0.10597738287560583
3202.797202797202,0.08982229402261714
3356.643356643356,0.09402261712439419
3510.4895104895104,0.09951534733441035
3664.3356643356647,0.10662358642972537
3748.251748251748,0.08723747980613894
3902.097902097902,0.08788368336025848
4097.902097902098,0.09402261712439419
4237.762237762238,0.09369951534733442
4391.608391608393,0.09014539579967691
4545.454545454545,0.09886914378029081
4685.314685314685,0.09369951534733442
4853.146853146852,0.10468497576736674
4923.076923076923,0.09369951534733442
5188.81118881119,0.12310177705977385
5384.615384615384,0.11534733441033926
5524.475524475524,0.10468497576736674
5692.307692307692,0.12116316639741519
5846.153846153847,0.12116316639741519
5944.055944055944,0.10533117932148628
6083.916083916084,0.10306946688206785
6237.7622377622365,0.10726978998384493
6363.636363636363,0.11599353796445883
6531.468531468531,0.11050080775444267
6699.300699300699,0.11534733441033926
6783.2167832167825,0.10468497576736674
6923.076923076923,0.09951534733441035
7048.951048951049,0.10920840064620356
7202.797202797204,0.10533117932148628
7370.629370629372,0.12019386106623588
7454.545454545455,0.10403877221324719
7594.405594405594,0.10694668820678514
7790.209790209789,0.10565428109854605
7930.06993006993,0.1075928917609047
8069.930069930068,0.10339256865912763
8223.776223776222,0.11179321486268176
8363.636363636364,0.12148626817447497
8461.538461538461,0.10888529886914379
8601.398601398603,0.10403877221324719
8769.23076923077,0.10694668820678514
8909.090909090908,0.10468497576736674
9048.951048951047,0.11502423263327949
9216.783216783217,0.12665589660743135
9286.713286713286,0.10726978998384493
9454.545454545452,0.10791599353796447
9608.391608391608,0.11276252019386107
9748.251748251747,0.1137318255250404
9916.083916083917,0.10985460420032311
10041.958041958042,0.12342487883683362
10125.874125874125,0.10726978998384493
10321.678321678322,0.10597738287560583
10447.552447552447,0.11760904684975769
10587.41258741259,0.1198707592891761
10769.23076923077,0.11890145395799678
10993.006993006991,0.1124394184168013
10895.104895104894,0.13893376413570274
11118.88111888112,0.11857835218093701
11286.713286713286,0.12439418416801294
11454.545454545452,0.12148626817447497
11566.433566433567,0.13311793214862683
11734.265734265733,0.14636510500807756
11818.181818181816,0.11502423263327949
11958.041958041955,0.11760904684975769
